id,observed_on,time_observed_at,user_id,description,place_guess,latitude,longitude,field:is this observation part of your 1 hour survey?,field:ruru call type,field:direction to call,field:repeat observation (animal)
191655352,2023-11-21,2023-11-21 08:10:47 UTC,3612063,Poneke gives a hoot project ,"Khandallah Park, Wellington, Wellington, NZ",-41.2416499863,174.7879570179,yes,,,
191655600,2023-11-21,2023-11-21 08:10:27 UTC,117691,,"Khandallah, Wellington 6035, New Zealand",-41.2415924622,174.7878745291,yes,,,
191655883,2023-11-21,2023-11-21 08:27:05 UTC,3612063,"","Khandallah Park, Wellington, Wellington, NZ",-41.2416732039,174.7879466314,yes,,,
191656729,2023-11-21,2023-11-21 08:48:51 UTC,117691,,"Khandallah, Wellington 6035, New Zealand",-41.2415925041,174.787876457,yes,,,
191656804,2023-11-21,2023-11-21 08:51:45 UTC,7614482,"Heard more pork call
Far away, direction hard to estimate","Station Road (near 7), Khandallah, Wellington 6035, New Zealand",-41.2419132,174.7930676,yes,Morepork,N,yes
191743943,2023-11-22,2023-11-22 08:07:00 UTC,57754,calling in the distance,"Roseneath, Wellington, New Zealand",-41.2949024483,174.7989348187,no,,,
192178950,2023-11-26,2023-11-26 09:02:00 UTC,762458,X 2 individual birds ,"Te Ika-a-Māui/North Island, Paraparaumu, Wellington, NZ",-40.9214856649,175.0050070431,no,Morepork,Not recorded,
192534631,2023-11-29,2023-11-29 09:38:53 UTC,6686,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.2641820684,174.7649851443,,Morepork,W,no
193366756,2023-12-08,2023-12-08 08:22:26 UTC,7636785,"","Huntleigh Park, Wellington, Wellington, NZ",-41.2533682399,174.7641022784,yes,Morepork,W,no
193367043,2023-12-08,2023-12-08 08:29:42 UTC,57754,,"Thane Road at Robieson Street (near 17), Roseneath, Wellington 6011, New Zealand",-41.2946868036,174.7991155833,no,,,
193367376,2023-12-08,2023-12-08 08:33:00 UTC,7636785,"","Huntleigh Park, Wellington, Wellington, NZ",-41.2533502457,174.7641307403,yes,Morepork,S,yes
193373197,2023-12-09,,3629246,"",476 horokiwi road,-41.197917,174.85316,no,Morepork,W,yes
