id,observed_on,time_observed_at,user_id,description,place_guess,latitude,longitude,survey_observation,call_type,direction_to_call,repeat_observation
191655600,11/21/2023,21:10:27,117691,,"Khandallah, Wellington 6035, New Zealand",-41.2415924622,174.7878745291,yes,,,
191655352,11/21/2023,21:10:47,3612063,Poneke gives a hoot project ,"Khandallah Park, Wellington, Wellington, NZ",-41.2416499863,174.7879570179,yes,,,
191655883,11/21/2023,21:27:05,3612063,,"Khandallah Park, Wellington, Wellington, NZ",-41.2416732039,174.7879466314,yes,,,
191656729,11/21/2023,21:48:51,117691,,"Khandallah, Wellington 6035, New Zealand",-41.2415925041,174.787876457,yes,,,
191656804,11/21/2023,21:51:45,7614482,"Heard more pork call
Far away, direction hard to estimate","Station Road (near 7), Khandallah, Wellington 6035, New Zealand",-41.2419132,174.7930676,yes,Morepork,N,yes
193366756,12/08/2023,21:22:26,7636785,,"Huntleigh Park, Wellington, Wellington, NZ",-41.2533682399,174.7641022784,yes,Morepork,W,no
193367376,12/08/2023,21:33:00,7636785,,"Huntleigh Park, Wellington, Wellington, NZ",-41.2533502457,174.7641307403,yes,Morepork,S,yes
194318735,12/18/2023,21:25:00,3785171,,"Hataitai Park, Wellington, Wellington, NZ",-41.3099254156,174.7893319004,yes,Morepork,E,yes
194343572,12/19/2023,21:46:57,605867,Albemarle Reserve ,"Northland, Wellington 6012, New Zealand",-41.276749894,174.7577506397,yes,Not recorded,Not recorded,yes
194416519,12/20/2023,21:37:02,5866007,Observed call 37 minutes into listening hour for Citizen Ruru,"Khandallah, Wellington 6035, New Zealand",-41.2526394,174.8003851,yes,Morepork,N,no
194417147,12/20/2023,21:47:58,5866007,Call observed 47 minutes into hour of listening for Citizen Ruru project ,"Khandallah, Wellington 6035, New Zealand",-41.2527696,174.8004346,yes,Morepork,S,maybe
194417545,12/20/2023,21:58:43,5866007,Call observed 58 minutes into hour of listening for Citizen Ruru project ,"Khandallah, Wellington 6035, New Zealand",-41.2526442,174.8003782,yes,Morepork,W,maybe
194563625,12/22/2023,21:15:22,1226581,With accompanying tūī and/or korimako ,"West Taratahi, New Zealand",-40.9209113824,175.4804834464,yes,Not recorded,Not recorded,no
194563678,12/22/2023,21:17:35,1226581,"Same one again, with inimitable ""more pork"" call","West Taratahi, New Zealand",-40.9208191405,175.4804228819,yes,Morepork,NE,yes
194639745,12/23/2023,21:31:11,7684918,,"Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3226720703,174.7792483795,yes,Morepork,SE,no
194876770,12/26/2023,21:20:36,375282,"Heard a Ruru calling in the distance, maybe up Sutherland Road. Would be too far away to get a sound recording","Wellington, NZ-WG, NZ",-41.328057,174.793602,yes,Morepork,NW,maybe
194965561,12/27/2023,21:31:16,1226581,"""more pork"" call. Hoping to add to Citizen Rūrū project ","West Taratahi, New Zealand",-40.9208483373,175.4804492856,yes,Morepork,N,maybe
195055811,12/28/2023,21:58:00,760161,,"Miramar, Wellington 6022, New Zealand",-41.3030147,174.8264841,yes,Morepork,NW,maybe
195351872,12/31/2023,21:45:42,760161,,"Wellington, NZ-WG, NZ",-41.30289,174.826545,yes,Morepork,NW,maybe
195555175,01/02/2024,21:58:41,1226581,,"West Taratahi, New Zealand",-40.9208234349,175.4803333893,yes,Morepork,W,maybe
195647138,01/03/2024,21:22:47,1226581,"Two, from S & SE, more pork calls","Tararua Forest Park, NZ-WG-CR, NZ-WG, NZ",-40.9194049402,175.4802846979,yes,Trill,NE,maybe
195646494,01/03/2024,21:40:38,7706104,"Heard two Ruru’s calling (Morepork call). 

There was a stream nearby so the audio might not be as clear.","Khandallah Park, Wellington, Wellington, NZ",-41.2407873684,174.7866491556,yes,Morepork,Not recorded,yes
195647154,01/03/2024,21:55:19,1226581,"At least two, one ""more pork"" one low trill ","West Taratahi, New Zealand",-40.9208734395,175.4804702838,yes,Morepork,NW,maybe
195647170,01/03/2024,21:59:18,1226581,,"West Taratahi, New Zealand",-40.9209053,175.4805042,yes,Morepork,Not recorded,maybe
196107465,01/08/2024,21:42:27,605867,Adult morepork call. Too windy for recording.,"Northland, Wellington 6012, New Zealand",-41.2766487664,174.7571879625,yes,Morepork,N,yes
197447553,01/24/2024,21:13:38,1226581,,"Carterton 5791, New Zealand",-40.9207033535,175.4803359781,yes,Ro,N,no
198634183,02/07/2024,21:51:39,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.2955174,174.68948972,yes,Morepork,Not recorded,maybe
